,SYMBOL,DELTA,INSTRUMENT,EXPIRY_DT,STRIKE_PR,ENTRYPRICE,SPOTPRICE,EXITPRICE,LOTSIZE,CONTRACTVALUE_FOR_1LOT,20%MARGIN_1LOT,Number_of_Lots,B/S,MARGINAMOUNT,ENTRYVALUE,EXITVALUE,P/L
66,M&M,0.2589806398707003,OPTSTK,26-May-2022,1030.0,6.5,929.8,0.0,700,4550.0,910.0,769.0,SHORT,699790.0,3498950.0,0.0,3498950.0
67,MARUTI,0.20360693831319737,OPTSTK,26-May-2022,8600.0,45.9,7805.0,0.0,100,4590.0,918.0,763.0,SHORT,700434.0,3502170.0,0.0,3502170.0
68,MINDTREE,0.3807658119785443,OPTSTK,26-May-2022,3900.0,56.1,2748.6,0.0,200,11220.0,2244.0,312.0,SHORT,700128.0,3500640.0,0.0,3500640.0
69,NMDC,0.27650969763378974,OPTSTK,26-May-2022,180.0,1.15,125.9,0.0,3350,3852.4999999999995,770.5,909.0,SHORT,700384.5,3501922.4999999995,0.0,3501922.4999999995
70,NTPC,0.22187603962070085,OPTSTK,26-May-2022,174.0,1.0,154.15,0.0,5700,5700.0,1140.0,614.0,SHORT,699960.0,3499800.0,0.0,3499800.0
71,ONGC,0.3378726683312022,OPTSTK,26-May-2022,175.0,2.25,151.9,0.0,3850,8662.5,1732.5,404.0,SHORT,699930.0,3499650.0,0.0,3499650.0
72,PEL,0.35904779241737517,OPTSTK,26-May-2022,2350.0,34.6,1861.35,0.0,275,9515.0,1903.0,368.0,SHORT,700304.0,3501520.0,0.0,3501520.0
73,PNB,0.36064548971933225,OPTSTK,26-May-2022,38.0,0.6,30.25,0.0,16000,9600.0,1920.0,365.0,SHORT,700800.0,3504000.0,0.0,3504000.0
74,POLYCAB,0.34151803330847097,OPTSTK,26-May-2022,2750.0,29.05,2408.95,0.0,300,8715.0,1743.0,402.0,SHORT,700686.0,3503430.0,0.0,3503430.0
75,POWERGRID,0.20515964498716688,OPTSTK,26-May-2022,270.0,0.35,227.2,0.0,2700,944.9999999999999,189.0,3704.0,SHORT,700056.0,3500279.9999999995,0.0,3500279.9999999995
