,Ticker,Date/Time,Open,Low,High,Close,ROC,Type_of_Trade
0,DMART.EQ-NSE,1/1/20,1849.7,1820.0,1867.0,1828.5,-1.1461318051575955,0
1,DMART.EQ-NSE,1/2/20,1831.0,1815.0,1854.85,1824.2,-0.37138175860185446,0
2,DMART.EQ-NSE,1/3/20,1827.0,1827.0,1853.0,1843.55,0.9058565955117655,1
3,DMART.EQ-NSE,1/6/20,1827.0,1780.0,1829.0,1789.9,-2.0306513409961635,0
4,DMART.EQ-NSE,1/7/20,1805.0,1805.0,1837.5,1815.75,0.5955678670360111,1
5,DMART.EQ-NSE,1/8/20,1793.0,1785.1,1837.05,1829.05,2.0105967651979895,1
6,DMART.EQ-NSE,1/9/20,1850.0,1826.6,1904.0,1880.55,1.651351351351349,1
7,DMART.EQ-NSE,1/10/20,1886.0,1865.1,1897.9,1876.95,-0.47985153764580885,0
8,DMART.EQ-NSE,1/13/2020,1925.0,1880.0,1940.15,1914.65,-0.537662337662333,0
9,DMART.EQ-NSE,1/14/2020,1902.0,1892.15,1940.0,1930.75,1.5115667718191377,1
10,DMART.EQ-NSE,1/15/2020,1938.0,1920.05,1946.0,1933.55,-0.22961816305469793,0
11,DMART.EQ-NSE,1/16/2020,1938.7,1922.0,1951.45,1946.05,0.3791200288853308,1
12,DMART.EQ-NSE,1/17/2020,1948.0,1932.4,2000.0,1990.55,2.1842915811088273,1
13,DMART.EQ-NSE,1/20/2020,2000.0,1927.0,2004.45,1936.65,-3.167499999999995,0
14,DMART.EQ-NSE,1/21/2020,1930.0,1901.9,1959.55,1912.35,-0.9145077720207302,0
15,DMART.EQ-NSE,1/22/2020,1930.0,1907.6,1932.0,1914.7,-0.792746113989635,0
16,DMART.EQ-NSE,1/23/2020,1920.0,1910.1,1929.05,1924.7,0.24479166666666902,1
17,DMART.EQ-NSE,1/24/2020,1927.05,1918.15,1961.1,1948.6,1.11828961365818,1
18,DMART.EQ-NSE,1/27/2020,1945.5,1928.1,1961.5,1951.5,0.30840400925212025,1
19,DMART.EQ-NSE,1/28/2020,1944.7,1922.2,1958.0,1930.45,-0.7327608371471178,0
20,DMART.EQ-NSE,1/29/2020,1932.0,1928.0,1984.25,1974.65,2.20755693581781,1
21,DMART.EQ-NSE,1/30/2020,1977.8,1977.8,2064.0,2051.3,3.7162503792092343,1
22,DMART.EQ-NSE,1/31/2020,2064.05,2061.0,2145.05,2133.95,3.386545868559368,1
23,DMART.EQ-NSE,2/1/20,2120.0,2046.45,2174.55,2072.05,-2.2617924528301803,0
24,DMART.EQ-NSE,2/3/20,2084.0,2081.0,2157.7,2131.65,2.2864683301343613,1
25,DMART.EQ-NSE,2/4/20,2145.0,2112.0,2172.9,2155.3,0.48018648018648863,1
26,DMART.EQ-NSE,2/5/20,2160.0,2160.0,2274.0,2248.9,4.115740740740745,1
27,DMART.EQ-NSE,2/6/20,2255.0,2255.0,2360.0,2294.35,1.7450110864744972,1
28,DMART.EQ-NSE,2/7/20,2295.0,2270.0,2330.0,2287.2,-0.3398692810457596,0
29,DMART.EQ-NSE,2/10/20,2287.2,2287.2,2537.45,2483.65,8.5891045820217,1
