Ticker,Date/Time,Open,Low,High,Close
DMART.EQ-NSE,1/1/20,1849.7,1820,1867,1828.5
DMART.EQ-NSE,1/2/20,1831,1815,1854.85,1824.2
DMART.EQ-NSE,1/3/20,1827,1827,1853,1843.55
DMART.EQ-NSE,1/6/20,1827,1780,1829,1789.9
DMART.EQ-NSE,1/7/20,1805,1805,1837.5,1815.75
DMART.EQ-NSE,1/8/20,1793,1785.1,1837.05,1829.05
DMART.EQ-NSE,1/9/20,1850,1826.6,1904,1880.55
DMART.EQ-NSE,1/10/20,1886,1865.1,1897.9,1876.95
DMART.EQ-NSE,1/13/2020,1925,1880,1940.15,1914.65
DMART.EQ-NSE,1/14/2020,1902,1892.15,1940,1930.75
DMART.EQ-NSE,1/15/2020,1938,1920.05,1946,1933.55
DMART.EQ-NSE,1/16/2020,1938.7,1922,1951.45,1946.05
DMART.EQ-NSE,1/17/2020,1948,1932.4,2000,1990.55
DMART.EQ-NSE,1/20/2020,2000,1927,2004.45,1936.65
DMART.EQ-NSE,1/21/2020,1930,1901.9,1959.55,1912.35
DMART.EQ-NSE,1/22/2020,1930,1907.6,1932,1914.7
DMART.EQ-NSE,1/23/2020,1920,1910.1,1929.05,1924.7
DMART.EQ-NSE,1/24/2020,1927.05,1918.15,1961.1,1948.6
DMART.EQ-NSE,1/27/2020,1945.5,1928.1,1961.5,1951.5
DMART.EQ-NSE,1/28/2020,1944.7,1922.2,1958,1930.45
DMART.EQ-NSE,1/29/2020,1932,1928,1984.25,1974.65
DMART.EQ-NSE,1/30/2020,1977.8,1977.8,2064,2051.3
DMART.EQ-NSE,1/31/2020,2064.05,2061,2145.05,2133.95
DMART.EQ-NSE,2/1/20,2120,2046.45,2174.55,2072.05
DMART.EQ-NSE,2/3/20,2084,2081,2157.7,2131.65
DMART.EQ-NSE,2/4/20,2145,2112,2172.9,2155.3
DMART.EQ-NSE,2/5/20,2160,2160,2274,2248.9
DMART.EQ-NSE,2/6/20,2255,2255,2360,2294.35
DMART.EQ-NSE,2/7/20,2295,2270,2330,2287.2
DMART.EQ-NSE,2/10/20,2287.2,2287.2,2537.45,2483.65
DMART.EQ-NSE,2/11/20,2480,2381,2480,2394.5
DMART.EQ-NSE,2/12/20,2390,2380,2526,2482.15
DMART.EQ-NSE,2/13/2020,2478,2442.8,2560,2544.15
DMART.EQ-NSE,2/14/2020,2440,2373,2499,2408.35
DMART.EQ-NSE,2/17/2020,2354.5,2330.05,2379.3,2339.45
DMART.EQ-NSE,2/18/2020,2334.95,2305.05,2384.6,2364.9
DMART.EQ-NSE,2/19/2020,2385,2372.1,2437,2424.5
DMART.EQ-NSE,2/20/2020,2433,2430,2485,2462.65
DMART.EQ-NSE,2/24/2020,2448.8,2370,2448.8,2389.7
DMART.EQ-NSE,2/25/2020,2399,2308,2429,2331.75
DMART.EQ-NSE,2/26/2020,2326.85,2305.05,2419,2358.4
DMART.EQ-NSE,2/27/2020,2347.3,2310,2370,2319.7
DMART.EQ-NSE,2/28/2020,2279.9,2180,2377.35,2323.95
DMART.EQ-NSE,3/2/20,2335,2220,2340,2228.95
DMART.EQ-NSE,3/3/20,2228,2172.95,2274,2233.05
DMART.EQ-NSE,3/4/20,2260,2150,2270,2198.45
DMART.EQ-NSE,3/5/20,2200,2150,2252,2247.2
DMART.EQ-NSE,3/6/20,2174.9,2136.1,2250,2242.15
DMART.EQ-NSE,3/9/20,2185,2130.05,2200,2145.7
DMART.EQ-NSE,3/11/20,2146.8,2075,2223.3,2109.95
DMART.EQ-NSE,3/12/20,2049,2004.5,2049,2004.5
DMART.EQ-NSE,3/13/2020,1904.3,1904.3,2104.7,2101
DMART.EQ-NSE,3/16/2020,1995.95,1995.95,2095,1996.3
DMART.EQ-NSE,3/17/2020,1945,1912,2096.1,2021.95
DMART.EQ-NSE,3/18/2020,2050.1,1920.9,2060,1920.9
DMART.EQ-NSE,3/19/2020,1824.9,1824.9,1840,1824.9
DMART.EQ-NSE,3/20/2020,1790,1733.7,1916.1,1916.1
DMART.EQ-NSE,3/23/2020,1820.3,1820.3,1900,1820.3
DMART.EQ-NSE,3/24/2020,1838,1729.3,1900,1808.7
DMART.EQ-NSE,3/25/2020,1798.7,1760.2,1899.1,1899.1
DMART.EQ-NSE,3/26/2020,1980,1950,1994.05,1994.05
DMART.EQ-NSE,3/27/2020,2087.75,2051,2093.75,2079.7
DMART.EQ-NSE,3/30/2020,2079.7,1975.75,2183,2114.55
DMART.EQ-NSE,3/31/2020,2180,2150,2220.25,2187.5
DMART.EQ-NSE,4/1/20,2218,2078.15,2230,2082.7
DMART.EQ-NSE,4/3/20,2101.5,2020,2119,2066.95
