,Ticker,Date/Time,Open,Low,High,Close,Date,Day,Month,Week Number,NewLocation,MonthCheck,MonthEndDay,OpenCount,CloseCount,BuyPrice,SellPrice
0,DMART.EQ-NSE,1/1/20,1849.7,1820.0,1867.0,1828.5,2020-01-01 00:00:00,Wednesday,01,00,01,0.0,0.0,1.0,0.0,1849.7,0.0
1,DMART.EQ-NSE,1/2/20,1831.0,1815.0,1854.85,1824.2,2020-01-02 00:00:00,Thursday,01,00,01,0.0,0.0,0.0,0.0,0.0,0.0
2,DMART.EQ-NSE,1/3/20,1827.0,1827.0,1853.0,1843.55,2020-01-03 00:00:00,Friday,01,00,01,0.0,0.0,0.0,1.0,0.0,1843.55
3,DMART.EQ-NSE,1/6/20,1827.0,1780.0,1829.0,1789.9,2020-01-06 00:00:00,Monday,01,01,01,0.0,0.0,1.0,0.0,1827.0,0.0
4,DMART.EQ-NSE,1/7/20,1805.0,1805.0,1837.5,1815.75,2020-01-07 00:00:00,Tuesday,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0
5,DMART.EQ-NSE,1/8/20,1793.0,1785.1,1837.05,1829.05,2020-01-08 00:00:00,Wednesday,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0
6,DMART.EQ-NSE,1/9/20,1850.0,1826.6,1904.0,1880.55,2020-01-09 00:00:00,Thursday,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0
7,DMART.EQ-NSE,1/10/20,1886.0,1865.1,1897.9,1876.95,2020-01-10 00:00:00,Friday,01,01,01,0.0,0.0,0.0,1.0,0.0,1876.95
8,DMART.EQ-NSE,1/13/2020,1925.0,1880.0,1940.15,1914.65,2020-01-13 00:00:00,Monday,01,02,01,0.0,0.0,1.0,0.0,1925.0,0.0
9,DMART.EQ-NSE,1/14/2020,1902.0,1892.15,1940.0,1930.75,2020-01-14 00:00:00,Tuesday,01,02,01,0.0,0.0,0.0,0.0,0.0,0.0
